position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1946,F1 2009,PSN,Unknown  ,Sumo Digital  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1947,F1 2009,PC,Unknown  ,Sumo Digital  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1948,F1 2013,PC,Codemasters  ,Codemasters Birmingham  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 13  ,24th May 18
1949,F1 2013,OSX,2K Australia / 2K Boston  ,Feral Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Mar 14  ,24th May 18
1950,F1 Career Challenge,XB,EA Sports  ,Visual Science  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 03  ,N/A
1951,F1 Career Challenge,GC,EA Sports  ,Visual Science  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 03  ,N/A
1952,F1 Challenge '99-'02,PC,EA Sports  ,Image Space Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Jun 03  ,N/A
1953,F1 Circus,PCE,Nichibutsu  ,Nihon Bussan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Sep 90  ,N/A
1954,F1 Circus,NES,Nichibutsu  ,Nichibutsu  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Feb 92  ,N/A
1955,F1 Circus '91,PCE,Nichibutsu  ,Nihon Bussan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Jul 91  ,N/A
1956,F1 Circus '92,PCE,Nichibutsu  ,Nihon Bussan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 92  ,N/A
1957,F1 Circus MD,GEN,Nichibutsu  ,Micronics  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Dec 91  ,N/A
1958,F1 Circus Special: Pole To Win,PCE,Nichibutsu  ,Nihon Bussan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 92  ,N/A
1959,F1 Manager,PC,Electronic Arts  ,EA Sports  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Oct 00  ,N/A
1960,F1 Pole Position,GB,Ubisoft  ,Varie  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
1961,F1 Pole Position,SNES,Ubisoft  ,Human Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
1962,F1 Pole Position 2,SNES,Ubisoft  ,Human Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
1963,F1 Race Stars,WiiU,Codemasters  ,Codemasters Birmingham  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Jan 14  ,17th Oct 18
1964,F1 Racing Championship,GB,Video System  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 00  ,N/A
