position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
863,Empire Deluxe,PC,New World Computing  ,White Wolf Productions  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,01st Jan 93  ,N/A
864,Future Tactics: The Uprising,GC,Crave Entertainment  ,Zed Two Limited  ,N/A  ,6.8  ,N/A  ,N/A,0.02m,0.02m,0.00m,N/A,0.00m,10th May 04  ,N/A
865,Tropico Reloaded,PC,Kalypso  ,Kalypso  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,24th Jul 09  ,N/A
866,Sudden Strike 4,XOne,Kalypso Media  ,Kite Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,26th Jun 18  ,24th Mar 18
867,Catan,DS,CDV Software Entertainment  ,USM  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,28th May 09  ,N/A
868,Mage Knight: Destiny's Soldier,DS,Namco Bandai  ,Big Blue Bubble Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,26th Sep 06  ,N/A
869,Demigod,PC,Atari  ,Gas Powered Games  ,N/A  ,7.2  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,14th Apr 09  ,N/A
870,Stronghold 2 Deluxe,PC,2K Games  ,FireFly Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,28th Oct 05  ,N/A
871,Pharaoh,PC,Sierra Entertainment  ,Impressions Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,31st Oct 99  ,N/A
872,Stronghold Crusader Extreme,PC,Gamecock  ,FireFly Studios  ,N/A  ,4.3  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,02nd Jun 08  ,N/A
873,Europa Universalis III Complete,PC,Paradox Interactive   ,Paradox Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,28th Oct 08  ,N/A
874,Space Hulk Tactics,PS4,Focus Home Interactive  ,Cyanide  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,09th Oct 18  ,28th Jun 18
875,Tropico 4: Modern Times,PC,Kalypso Media  ,Haemimont Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,29th Mar 12  ,23rd Apr 19
876,Military History: Commander - Europe at War,PSP,Slitherine Software  ,Impressionware SRL  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.01m,20th Mar 09  ,N/A
877,Galaxy Angel II: Eigou Kaiki no Koku,PS2,Broccoli  ,Broccoli  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,12th Mar 09  ,N/A
878,Fritz Chess,Wii,Deep Silver  ,Gammick Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,0.01m,N/A,0.00m,28th Jul 09  ,N/A
879,Fritz Chess,DS,Deep Silver  ,ShanBlue  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,0.00m,N/A,0.00m,28th Jul 09  ,N/A
880,Sid Meier's Civilization Revolution 2+,PSV,Take-Two Interactive  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,03rd Dec 15  ,N/A
881,Tom Clancy's EndWar,PC,Ubisoft  ,Ubisoft Shanghai  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,24th Feb 09  ,N/A
882,X3: Terran War Pack,PC,Deep Silver  ,Egosoft  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,09th Mar 12  ,23rd Apr 19
883,Sakura Wars 1 & 2,PSP,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,09th Mar 06  ,N/A
