position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1371,Champions of Krynn,PC,SSI  ,SSI  ,N/A  ,N/A  ,N/A  ,0.12m,N/A,N/A,N/A,N/A,N/A,01st Jan 90  ,N/A
1372,MIND?0,PSV,Aksys Games  ,Acquire  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,0.05m,N/A,0.04m,0.02m,27th May 14  ,16th Nov 18
1373,Lunar 2: Eternal Blue,SAT,Kadokawa Shoten  ,Game Arts  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,23rd Jul 98  ,N/A
1374,Thousand Arms,PS,Atlus  ,RED Company  ,N/A  ,N/A  ,8.0  ,N/A,0.12m,0.06m,0.04m,N/A,0.01m,13th Oct 99  ,N/A
1375,ASH: Archaic Sealed Heat,DS,Nintendo  ,Mistwalker Corporation / Racjin  ,N/A  ,N/A  ,N/A  ,N/A,0.12m,N/A,N/A,0.12m,N/A,04th Oct 07  ,N/A
1376,Darkspore,PC,Electronic Arts  ,Maxis  ,N/A  ,6.6  ,N/A  ,N/A,0.11m,0.07m,0.03m,N/A,0.01m,26th Apr 11  ,N/A
1377,Sword Art Online: Hollow Realization,PC,Bandai Namco Entertainment  ,Aquria  ,N/A  ,N/A  ,N/A  ,0.11m,N/A,N/A,N/A,N/A,N/A,27th Oct 17  ,22nd Mar 19
1378,Dungeons & Dragons: Daggerdale,PC,Atari  ,Bedlam Games  ,N/A  ,N/A  ,N/A  ,0.11m,N/A,N/A,N/A,N/A,N/A,24th Jun 11  ,08th Apr 19
1379,Digimon Story: Cyber Sleuth,PS4,Namco Bandai Games  ,Media.Vision  ,N/A  ,N/A  ,7.7  ,N/A,0.11m,N/A,0.10m,N/A,0.02m,02nd Feb 16  ,N/A
1380,Dokapon Kingdom,PS2,Atlus  ,Sting  ,N/A  ,N/A  ,N/A  ,N/A,0.11m,0.05m,0.04m,0.02m,0.01m,14th Oct 08  ,N/A
