position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
551,All Star Pro-Wrestling,PS2,Square  ,SquareSoft  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,08th Jun 00  ,N/A
552,ClayFighter,All,Interplay Productions  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,15th Nov 93  ,29th Mar 21
553,Arcana Heart 3,PS3,Aksys Games  ,Examu Inc.  ,N/A  ,7.0  ,N/A  ,N/A,0.20m,0.04m,0.05m,0.10m,0.02m,23rd Sep 14  ,N/A
554,UFC: Tapout,XB,Crave Entertainment  ,DreamFactory  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.14m,0.05m,N/A,0.01m,17th Feb 02  ,N/A
555,Injustice: Gods Among Us,WiiU,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.09m,0.09m,0.00m,0.02m,16th Apr 13  ,22nd Apr 18
556,The King of Fighters XI,PS2,SNK Playmore  ,SNK Playmore Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.07m,0.06m,0.04m,0.02m,13th Nov 07  ,N/A
557,Dragon Ball Z: Idainaru Dragon Ball Densetsu,PS,Bandai  ,TOSE  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,N/A,N/A,0.18m,0.01m,31st May 96  ,N/A
558,One Piece: Burning Blood,XOne,Namco Bandai Games  ,Spike Chunsoft  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.11m,0.07m,N/A,0.02m,31st May 16  ,23rd May 18
559,Fire ProWrestling G,PS,Human Entertainment  ,S-Neo  ,N/A  ,8.0  ,N/A  ,N/A,0.19m,N/A,N/A,0.18m,0.01m,24th Jun 99  ,N/A
560,Naruto: Ninja Destiny,DS,D3Publisher  ,Takara Tomy  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.02m,0.01m,0.16m,0.00m,20th Mar 08  ,N/A
561,WWE All Stars,Wii,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.10m,0.07m,N/A,0.02m,29th Mar 11  ,N/A
562,Darkstalkers 3,PS,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.11m,0.07m,N/A,0.01m,30th Nov 98  ,N/A
563,Dengeki Bunko Fighting Climax,PS3,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.07m,0.00m,0.10m,0.02m,06th Oct 15  ,N/A
564,Mace: The Dark Age,N64,Midway Games  ,Atari  ,N/A  ,7.1  ,N/A  ,N/A,0.19m,0.15m,0.04m,N/A,0.00m,01st Oct 97  ,N/A
565,Transformers: Prime,3DS,Activision  ,Now Production  ,3.4  ,N/A  ,N/A  ,N/A,0.19m,0.14m,0.03m,N/A,0.02m,30th Oct 12  ,06th Jan 19
566,FaceBreaker,X360,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.15m,0.02m,N/A,0.01m,03rd Sep 08  ,N/A
567,Street Fighter 30th Anniversary Collection,NS,Capcom  ,Capcom  ,N/A  ,8.5  ,N/A  ,N/A,0.19m,0.12m,0.04m,0.01m,0.02m,29th May 18  ,07th Nov 18
568,Tekken Tag Tournament 2,WiiU,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,8.1  ,N/A  ,N/A,0.19m,0.09m,0.07m,0.01m,0.01m,18th Nov 12  ,21st Apr 18
569,WWE All Stars,PSP,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.12m,0.04m,N/A,0.03m,29th Mar 11  ,N/A
570,Fight Club,PS2,VU Games  ,Genuine Games  ,N/A  ,N/A  ,N/A  ,N/A,0.18m,0.09m,0.07m,N/A,0.02m,16th Nov 04  ,N/A
571,Dead or Alive,SAT,Tecmo  ,Team Ninja  ,N/A  ,7.9  ,N/A  ,N/A,0.18m,N/A,N/A,0.18m,0.00m,09th Oct 97  ,N/A
572,Bloody Roar: Primal Fury,GC,Activision  ,Eighting / Raizing  ,N/A  ,7.9  ,N/A  ,N/A,0.18m,0.14m,0.04m,N/A,0.00m,18th Mar 02  ,N/A
573,Vampire Savior: The Lord of Vampire,SAT,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.18m,N/A,N/A,0.18m,0.00m,16th Apr 98  ,N/A
574,WWE SmackDown vs. Raw 2009,DS,THQ  ,TOSE  ,N/A  ,N/A  ,N/A  ,N/A,0.18m,0.14m,0.02m,N/A,0.01m,09th Nov 08  ,N/A
575,BlazBlue: Chrono Phantasma Extend,PC,"H2 Interactive Co., Ltd.  ",Arc System Works  ,N/A  ,N/A  ,N/A  ,0.18m,N/A,N/A,N/A,N/A,N/A,02nd Mar 16  ,08th Apr 19
576,UFC: Sudden Impact,PS2,Global Star Software  ,Opus Studio  ,N/A  ,N/A  ,N/A  ,N/A,0.18m,0.09m,0.07m,N/A,0.02m,21st Apr 04  ,N/A
577,Street Fighter: The Movie,PS,Acclaim Entertainment  ,Incredible Technologies  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.10m,0.07m,N/A,0.01m,10th Aug 95  ,N/A
578,The King of Fighters '97,PS,Trigger Apps  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,N/A,N/A,0.16m,0.01m,28th May 98  ,N/A
579,Fight Night Round 2,GC,EA Sports  ,EA Sports  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.13m,0.03m,N/A,0.00m,28th Feb 05  ,N/A
580,The King of Fighters '97,SAT,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,N/A,N/A,0.17m,0.00m,26th Mar 98  ,N/A
581,The King of Fighters '95,PS,Sony Computer Entertainment  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,N/A,N/A,0.16m,0.01m,31st Aug 96  ,N/A
582,FaceBreaker,PS3,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.13m,0.03m,N/A,0.02m,03rd Sep 08  ,N/A
583,Fighter Maker,PS,Agetec  ,ASCII Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.05m,0.04m,0.07m,0.01m,16th Jun 99  ,N/A
584,Guilty Gear Xrd: Sign,PS4,Aksys Games  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.11m,N/A,0.04m,0.02m,16th Dec 14  ,01st Nov 18
585,BlazBlue: Central Fiction,PS4,Aksys Games  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.10m,N/A,0.05m,0.02m,01st Nov 16  ,25th Jan 19
586,Fighter Within,XOne,Ubisoft  ,Daoka  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,0.08m,0.07m,N/A,0.01m,19th Nov 13  ,04th Nov 18
587,Sword of the Samurai,PS2,Unknown  ,LightWeight  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,N/A,N/A,0.17m,N/A,N/A  ,N/A
588,Naruto Shippuden: Ultimate Ninja 5,PS2,Namco Bandai  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,N/A,0.17m,N/A,N/A,0.17m,N/A,27th Nov 09  ,N/A
589,Backyard Wrestling: Don't Try This at Home,XB,Eidos Interactive  ,Paradox Development  ,N/A  ,6.0  ,N/A  ,N/A,0.17m,0.13m,0.04m,N/A,0.01m,09th Oct 03  ,N/A
590,Street Fighter Alpha 2,SNES,Capcom  ,Capcom  ,N/A  ,8.0  ,N/A  ,N/A,0.17m,N/A,N/A,0.17m,N/A,19th Dec 96  ,N/A
591,Castlevania Judgment,Wii,Konami  ,Konami / Eighting  ,N/A  ,4.6  ,7.5  ,N/A,0.16m,0.12m,0.02m,0.01m,0.01m,18th Nov 08  ,N/A
592,Pen 1 Grand Prix: Penguin no Mondai Special,DS,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.16m,N/A,N/A,0.16m,N/A,17th Dec 09  ,N/A
593,Guilty Gear Judgment,PSP,Majesco  ,Arc System Works  ,N/A  ,7.5  ,N/A  ,N/A,0.16m,0.13m,0.00m,0.02m,0.01m,05th Sep 06  ,N/A
594,Naruto Shippuden: Ultimate Ninja Storm Legacy,PS4,Namco Bandai Games  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,N/A,0.16m,0.07m,0.04m,0.03m,0.02m,25th Aug 17  ,N/A
595,The King of Fighters XII,PS3,Ignition Entertainment  ,SNK Playmore Corporation  ,N/A  ,6.0  ,N/A  ,N/A,0.16m,0.11m,0.01m,0.03m,0.01m,28th Jul 09  ,N/A
596,Namco Classic Fighter Collection,PS2,Namco Bandai  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.16m,0.08m,0.06m,N/A,0.02m,19th Sep 08  ,N/A
597,BlazBlue: Chrono Phantasma Extend,PS4,Aksys Games  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,N/A,0.16m,0.08m,0.04m,0.02m,0.02m,30th Jun 15  ,09th Jul 18
