position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
122,Nioh,PS4,Sony Interactive Entertainment  ,Team Ninja  ,N/A  ,N/A  ,N/A  ,2.90m,N/A,N/A,N/A,N/A,N/A,07th Feb 17  ,05th Aug 20
123,Middle-Earth: Shadow of Mordor,PS4,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,9.0  ,N/A  ,N/A  ,2.88m,N/A,N/A,N/A,N/A,N/A,30th Sep 14  ,04th May 18
124,Assassin's Creed: Brotherhood,PS3,Ubisoft  ,Ubisoft Montreal  ,8.8  ,9.1  ,N/A  ,N/A,2.85m,1.87m,0.57m,0.11m,0.30m,16th Nov 10  ,N/A
125,Hitman: Absolution,PC,Square Enix  ,IO Interactive  ,N/A  ,9.0  ,N/A  ,2.81m,N/A,N/A,N/A,N/A,N/A,20th Nov 12  ,N/A
126,Skylanders: Spyro's Adventure,Wii,Activision  ,Toys for Bob  ,N/A  ,8.0  ,N/A  ,N/A,2.79m,1.35m,1.15m,N/A,0.30m,16th Oct 11  ,N/A
127,Star Wars: The Force Unleashed,X360,LucasArts  ,LucasArts  ,N/A  ,7.1  ,N/A  ,N/A,2.77m,1.74m,0.78m,N/A,0.26m,16th Sep 08  ,N/A
128,Saints Row: The Third,X360,THQ  ,Volition Inc.  ,N/A  ,8.3  ,N/A  ,N/A,2.77m,1.26m,1.14m,0.07m,0.30m,15th Nov 11  ,N/A
129,The Binding of Isaac: Rebirth,PC,Nicalis  ,Nicalis  ,N/A  ,N/A  ,N/A  ,2.76m,N/A,N/A,N/A,N/A,N/A,04th Nov 14  ,06th Aug 18
130,Resident Evil,PS,Capcom  ,Capcom  ,N/A  ,8.6  ,N/A  ,2.75m,N/A,N/A,N/A,N/A,N/A,30th Mar 96  ,N/A
131,LEGO Star Wars II: The Original Trilogy,PS2,LucasArts  ,Traveller's Tales  ,N/A  ,8.4  ,N/A  ,N/A,2.69m,1.85m,0.64m,0.01m,0.19m,12th Sep 06  ,N/A
132,Hannah Montana,DS,Buena Vista  ,DC Studios  ,N/A  ,6.5  ,N/A  ,N/A,2.65m,1.59m,0.80m,N/A,0.26m,10th Oct 06  ,N/A
133,Tom Clancy's Splinter Cell,PS2,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,2.65m,1.15m,1.11m,N/A,0.40m,08th Apr 03  ,N/A
134,Star Wars: Shadows of the Empire,N64,Nintendo  ,LucasArts  ,N/A  ,N/A  ,N/A  ,2.65m,N/A,N/A,N/A,N/A,N/A,03rd Dec 96  ,N/A
135,Streets of Rage,GEN,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,2.60m,1.86m,0.55m,0.11m,0.08m,31st Dec 90  ,N/A
136,LEGO Star Wars: The Complete Saga,X360,LucasArts  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,2.59m,1.53m,0.83m,N/A,0.24m,06th Nov 07  ,N/A
137,Hotline Miami,PC,Devolver Digital  ,Dennaton Games  ,N/A  ,N/A  ,N/A  ,2.58m,N/A,N/A,N/A,N/A,N/A,23rd Oct 12  ,01st Feb 19
138,Tomb Raider (2013),PS3,Square Enix  ,Crystal Dynamics  ,8.7  ,8.9  ,N/A  ,N/A,2.51m,0.60m,1.45m,0.08m,0.38m,05th Mar 13  ,06th Jan 18
139,Devil May Cry HD Collection,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,2.50m,N/A,N/A,N/A,N/A,N/A,22nd Mar 12  ,11th Oct 20
140,Streets of Rage 4,All,DotEmu  ,DotEmu  ,N/A  ,N/A  ,N/A  ,2.50m,N/A,N/A,N/A,N/A,N/A,30th Apr 20  ,22nd Feb 21
141,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Rockstar Games  ,Rockstar North  ,N/A  ,9.8  ,N/A  ,N/A,2.49m,1.84m,0.56m,N/A,0.09m,31st Oct 03  ,N/A
142,Saints Row: The Third,PS3,THQ  ,Volition Inc.  ,N/A  ,8.3  ,N/A  ,N/A,2.48m,0.86m,1.06m,0.18m,0.37m,15th Nov 11  ,N/A
143,Tomb Raider: The Last Revelation,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,2.48m,1.15m,1.14m,0.06m,0.13m,22nd Nov 99  ,N/A
144,Assassin's Creed Origins,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,2.47m,1.34m,0.92m,N/A,0.22m,27th Oct 17  ,10th Jan 18
145,Batman: Arkham City,PC,Warner Bros. Interactive  ,Rocksteady Studios  ,N/A  ,9.0  ,N/A  ,2.47m,N/A,N/A,N/A,N/A,N/A,22nd Nov 11  ,N/A
