position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2470,Crimson Dragon: Side Story,WinP,Microsoft Studios  ,Grounding Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Sep 12  ,01st Oct 18
2471,Crimsonland,PSV,10tons Ltd  ,10tons Ltd  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Aug 14  ,N/A
2472,CrossFire,GEN,Kyugo Boueki  ,AI  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91  ,N/A
2473,Crypt Killer,SAT,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
2474,Crysis,PSN,Electronic Arts  ,Crytek  ,N/A  ,8.2  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 11  ,N/A
2475,Crysis,XBL,Electronic Arts  ,Crytek  ,N/A  ,8.2  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Oct 11  ,N/A
2476,Crysis 2: Decimation Pack,XBL,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Jun 11  ,N/A
2477,Crysis 2: Decimation Pack,PC,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Jun 11  ,N/A
2478,Crysis 2: Decimation Pack,PSN,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Jun 11  ,N/A
2479,Crysis 2: Retaliation Pack,PSN,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 11  ,N/A
2480,Crysis 2: Retaliation Pack,XBL,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th May 11  ,N/A
2481,Crysis 2: Retaliation Pack,PC,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th May 11  ,N/A
2482,Crysis 3,PC,Electronic Arts  ,Crytek  ,N/A  ,7.5  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Feb 13  ,13th Mar 18
2483,Crystal Quest,XBL,Microsoft  ,Stainless Games  ,N/A  ,6.2  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Feb 06  ,N/A
2484,Crystal Quest,PC,Stainless Games  ,Stainless Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Feb 07  ,N/A
2485,Crystal Quest,GB,Data East  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 91  ,N/A
2486,Curse,GEN,Micronet  ,Micronet  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Dec 89  ,N/A
2487,Cyber Sled (Arcade),VC,Namco Bandai  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th May 09  ,N/A
2488,Cyber-Core,PCE,NEC  ,Alfa System  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90  ,N/A
2489,Cyber-Lip,NG,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 91  ,N/A
2490,Cyber-Lip (CD),NG,SNK  ,SNK Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Apr 95  ,N/A
2491,Cyberdillo,3DO,Panasonic Interactive Media  ,Pixel Technologies  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
2492,Cybermorph,AJ,Atari  ,Attention To Detail  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
2493,Cybernator,SNES,Konami  ,NCS  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 93  ,N/A
2494,Cybernator,VC,Nintendo  ,NCS  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Dec 07  ,N/A
2495,Cybernoid: The Fighting Machine,NES,Acclaim Entertainment  ,Acclaim  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 89  ,N/A
2496,Cybernoid: The Fighting Machine,VC,Commodore  ,Raffaele Cecco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 09  ,N/A
2497,Cyborg Mice Arena,XBL,Microsoft  ,bioroid  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Jul 09  ,N/A
2498,CyClones,PC,SSI  ,Raven Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94  ,N/A
2499,Daemon Summoner,PS2,Midas Interactive Entertainment  ,Atomic Planet Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 06  ,N/A
2500,Daisenpuu,PCE,NEC Avenue  ,NEC Avenue  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Dec 90  ,N/A
2501,Daisenpuu Custom,PCE,NEC Avenue  ,NEC Avenue  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jul 91  ,N/A
2502,Dangerous Seed,GEN,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 90  ,N/A
2503,Darius α,PCE,NEC Avenue  ,Bits Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 90  ,N/A
2504,Darius Burst,PSN,Taito  ,Pyramid  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Dec 09  ,N/A
2505,Darius Burst,PSP,Unknown  ,Pyramid  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20  ,N/A
2506,Darius Gaiden,PS,Taito  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Dec 96  ,N/A
2507,Darius Gaiden,PC,Interplay  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 98  ,N/A
2508,Darius Plus,VC,NEC Avenue  ,Bits Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 08  ,N/A
2509,Darius Plus,PCE,NEC Avenue  ,Bits Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Sep 90  ,N/A
2510,Darius R,GBA,Pacific Century Cyber Works  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Dec 02  ,N/A
2511,Darius Twin,VC,Taito  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Dec 10  ,N/A
2512,Darius Twin,SNES,Taito  ,Taito Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91  ,N/A
2513,Dark Horizons: Lore,PC,GarageGames  ,Max Gaming Technologies  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Apr 04  ,N/A
2514,Dark Sector,PC,Aspyr  ,Digital Extremes  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 09  ,N/A
2515,Darkest of Days,PC,Phantom EFX  ,8MonkeyLabs  ,N/A  ,4.8  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Sep 09  ,N/A
2516,Darkworks,X360,Unknown  ,Darkworks  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2517,Darkworks,PC,Unknown  ,Darkworks  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2518,Darwin 4081,GEN,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Apr 90  ,N/A
2519,Day of Defeat: Source,PC,Valve Software  ,Valve Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Sep 05  ,N/A
2520,DDTank,PC,Unknown  ,Ngames Limited  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Nov 10  ,N/A
2521,Dead Man's Hand,PC,Atari  ,Human Head Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Mar 04  ,N/A
2522,Dead Meat,XBL,Microsoft  ,x68ST0X20  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Sep 09  ,N/A
2523,Dead Meets Lead,PC,Unknown  ,Keldyn Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2524,Dead Moon,VC,Natsume  ,Zap  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Jun 07  ,N/A
2525,Dead Moon,PCE,Turbo Technologies  ,Zap  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92  ,N/A
2526,Dead Nation,PSN,Sony Computer Entertainment  ,Housemarque  ,8.2  ,7.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 10  ,N/A
2527,Dead Nation: Road of Devastation,PSN,Unknown  ,Housemarque  ,7.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2528,Dead Space,XBL,Electronic Arts  ,EA Redwood Shores  ,N/A  ,9.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 09  ,N/A
2529,Dead Space 2,PSN,Electronic Arts  ,Visceral Games  ,N/A  ,9.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Nov 11  ,N/A
