position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2339,Reef Aquarium,PSN,Biart Design Studio  ,Biart Design Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Apr 10  ,N/A
2340,Remnant,Lynx,Songbird Productions  ,Songbird Productions  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00  ,N/A
2341,Retro Cave Flyer,PSN,Big Head Games  ,Big Head Games Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 10  ,N/A
2342,Riding Academy,DS,Eidos Interactive  ,DTP Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Nov 08  ,N/A
2343,Riding Academy 2,DS,Unknown  ,TBA  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2344,RiftSpace,PC,Unknown  ,StarWraith 3D Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2345,Rig N' Roll,PC,Unknown  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2346,Rise of Flight: The First Great Air War,PC,Unknown  ,neoqb  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Jun 09  ,N/A
2347,Roommate: Ryouko in Summer Vacation,SAT,Datam Polystar  ,Datam Polystar  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Sep 97  ,N/A
2348,Ropeway Simulator 2014,PC,astragon Software GmbH  ,Z-Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 14  ,N/A
2349,Ruins,MS,Unknown  ,Cardboard Computer  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2350,Ruins,PC,Unknown  ,Cardboard Computer  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2351,Sail Simulator 5,PC,Iceberg Interactive  ,VSTEP  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Feb 10  ,N/A
2352,Sakamoto Ryouma: Ishin Kaikoku,SAT,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 98  ,N/A
2353,Sakana to Asobou! Aquazone DS - Kaisuigyo,DS,GungHo Online Entertainment  ,GungHo Online Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Mar 08  ,N/A
2354,Sally's Salon,PC,GamesCafe  ,"GamesCafe, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jul 07  ,N/A
2355,Sandy Beach,WW,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Jan 09  ,N/A
2356,Scramble Cobra,3DO,Panasonic Interactive Media  ,Genki  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
2357,Seaman: Kanzenban,PS2,D3 Publisher  ,VIVARIUM Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Feb 03  ,N/A
2358,Seaman: Kindan no Pet 2001,DC,Viva Media  ,VIVARIUM Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Aug 00  ,N/A
2359,Secret Weapons of the Luftwaffe,PC,LucasArts  ,Lucasfilm Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Jun 91  ,N/A
2360,Segagaga,DC,Sega  ,Hitmaker  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 01  ,N/A
2361,Sennen Kazoku,GBA,Nintendo  ,Indies Zero  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Mar 05  ,N/A
2362,Sentou Yousei Yuki Kaze,XB,Unknown  ,Aqua Systems  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Aug 03  ,N/A
2363,Sentris,PC,Timbre Interactive  ,Timbre Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 15  ,09th Aug 18
2364,Sentris,OSX,Timbre Interactive  ,Timbre Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 15  ,09th Aug 18
2365,Sentris,Linux,Timbre Interactive  ,Timbre Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Aug 15  ,09th Aug 18
