position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
279,Ben 10: Alien Force,All,D3 Publisher  ,Monkey Bar Games  ,N/A  ,N/A  ,N/A  ,1.08m,N/A,N/A,N/A,N/A,N/A,28th Oct 08  ,18th Nov 20
280,Sleeping Dogs,PS3,Square Enix  ,United Front Games  ,N/A  ,8.1  ,N/A  ,N/A,1.04m,0.31m,0.50m,0.05m,0.17m,14th Aug 12  ,07th Mar 18
281,Disney Infinity 2.0: Marvel Super Heroes,PS3,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,1.04m,0.52m,0.34m,N/A,0.18m,23rd Sep 14  ,06th Feb 18
282,Just Cause 3,XOne,Square Enix  ,Avalanche Studios  ,N/A  ,7.0  ,N/A  ,N/A,1.01m,0.52m,0.41m,N/A,0.09m,01st Dec 15  ,04th Apr 18
283,Far Cry: Primal,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.8  ,N/A  ,N/A,1.00m,0.51m,0.41m,N/A,0.09m,23rd Feb 16  ,03rd Apr 18
284,60 Seconds!,All,Robot Gentleman Studios  ,Robot Gentleman Studios  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,25th May 15  ,09th Feb 21
285,A Plague Tale: Innocence,All,Focus Home Interactive  ,Asobo Studio  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,14th May 19  ,22nd Feb 21
286,Another World,All,U.S. Gold  ,Delphine Software International  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 91  ,28th Mar 21
287,Cult of the Lamb,All,Devolver Digital  ,Massive Monster  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,11th Aug 22  ,18th Aug 22
288,Destroy All Humans!,All,THQ  ,Pandemic Studios  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,21st Jun 05  ,08th Jul 21
