position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
3769,Metamoru Panic: Doki Doki Youma Busters!!,PS,Family Soft  ,Family Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 95  ,N/A
3770,Metamoru Panic: Doki Doki Youma Busters!!,PSN,Family Soft  ,Family Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 10  ,N/A
3771,Metroid,VC,Nintendo  ,Nintendo R&D1  ,N/A  ,8.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Aug 07  ,N/A
3772,Metroid (FDS),NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Aug 86  ,N/A
3773,Metroid II: Return of Samus,3DS,Nintendo  ,Nintendo R&D1  ,N/A  ,9.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Nov 11  ,N/A
3774,Mezase Ero Mangaka: Watashi Shoujo Desu Kedo!?,PC,Swan  ,Swan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 11  ,N/A
3775,Midnight Nowhere,PC,Tri Synergy  ,Buka Enterteinment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Mar 04  ,N/A
3776,Mikagura Shoujo Tanteidan,PSN,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Oct 09  ,N/A
3777,Mikagura Shoujo Tanteidan,PS,Human Entertainment  ,Human Club  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Sep 98  ,N/A
3778,Mikeneko Holmes: Ghost Panic,WS,Koubunsha  ,MintJulep  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Apr 01  ,N/A
3779,Milky Humming,PC,Unknown  ,Medusa  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 98  ,N/A
3780,Milky Season,PS,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 02  ,N/A
3781,Milky Season,DC,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Feb 02  ,N/A
3782,Milky Space: Hishiki Sexroid,PC,Unknown  ,Mesa  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Apr 00  ,N/A
3783,Millennium 2 - Take Me Higher,PC,Aldorlea Games  ,Aldorlea Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Dec 09  ,20th Jul 18
3784,Millennium 3 - Cry Wolf,PC,Aldorlea Games  ,Aldorlea Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 10  ,20th Jul 18
3785,MinDeaD BlooD: Mayu to Mana no Yuketso Hako,PC,Black Psyche  ,Black Psyche  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Oct 04  ,N/A
3786,Minecraft: Story Mode,PSV,Mojang  ,Telltale Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20  ,N/A
3787,Minimum Nanonic,PCFX,NEC  ,NEC  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Oct 97  ,N/A
3788,Mirai Nikki: 13 Hitome no Nikki Shoyuusha,PSP,Kadokawa Shoten  ,Kadokawa Shoten  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Jan 10  ,N/A
3789,Mirai Nostalgia,PC,Unknown  ,Purple  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Sep 11  ,N/A
3790,Misato-Chan no Yume Nikki,PC,Active  ,Active  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Apr 97  ,N/A
3791,Mishap: An Accidental Haunting,PC,Namco Networks America  ,Virtual Prophecy Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Feb 10  ,N/A
3792,Miss Moonlight,DC,Naxat Soft  ,Naxat Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jun 01  ,N/A
3793,Missing Parts 2: The Tantei Stories,DC,Fog  ,O-TWO inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Oct 02  ,N/A
3794,Missing Parts 3: The Tantei Stories,DC,Fog  ,O-TWO inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Jul 03  ,N/A
3795,Missing Parts: The Tantei Stories,DC,Fog  ,O-TWO inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Jan 02  ,N/A
3796,Missing: Since January,PC,The Adventure Company  ,Lexis Numerique  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jun 04  ,N/A
3797,Mission Critical,PC,Legend Entertainment  ,Legend Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Oct 95  ,N/A
3798,Mission: Impossible,GB,Infogrames  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Feb 00  ,N/A
3799,Mistake x Miscast,PC,Unknown  ,mignon  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 11  ,N/A
3800,Mite wa Ikenai,DS,Dimple Entertainment  ,Dimple Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Aug 08  ,N/A
3801,Mixed-Up Fairy Tales,PC,Sierra Entertainment  ,"Sierra On-Line, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91  ,N/A
3802,Mixed-Up Mother Goose,PC,Sierra Entertainment  ,"Sierra On-Line, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 87  ,N/A
3803,Mixed-Up Mother Goose Deluxe,PC,Sierra Entertainment  ,Sierra Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
3804,Mizu no Senritsu,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 05  ,N/A
3805,Mizu no Senritsu 2: Hi no Kioku,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Oct 06  ,N/A
3806,Mizuiro,DC,NEC Interchannel   ,HuneX  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Mar 02  ,N/A
3807,Mizuiro,PS2,NEC Interchannel   ,NEC Interchannel  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Dec 02  ,N/A
3808,Mizuiro,PC,Neko Neko Soft  ,Neko Neko Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,13th Apr 01  ,N/A
3809,Mizuiro no Chizu,PC,Janis  ,Janis  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Oct 99  ,N/A
3810,Moe Moe 2-Ji Daisenryaku 2,PS2,System Soft  ,System Soft Alpha  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Feb 10  ,N/A
3811,Moekan,DC,Princess Soft  ,Princess Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Dec 03  ,N/A
3812,Monkey Island 2 Special Edition: LeChuck's Revenge,XBL,LucasArts  ,LucasArts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jul 10  ,N/A
3813,Monkey Island 2 Special Edition: LeChuck's Revenge,PSN,LucasArts  ,LucasArts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Jul 10  ,N/A
3814,Monkey Island 2 Special Edition: LeChuck’s Revenge,PC,LucasArts  ,LucasArts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jul 10  ,N/A
3815,Monkey Island 2: LeChuck's Revenge,PC,LucasArts  ,LucasArts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91  ,N/A
3816,Monkey Tales Games,PC,Larian Studios  ,Larian Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 14  ,N/A
3817,Monkey Tales Games,OSX,Larian Studios  ,Larian Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 14  ,N/A
3818,Monochrome,PSP,CyberFront  ,CyberFront  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,08th Apr 10  ,N/A
3819,Monochrome,PSN,CyberFront  ,CyberFront  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Jul 10  ,N/A
3820,Monochrome,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 04  ,N/A
3821,Montana Jones,3DO,Unknown  ,Future Pirates  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Jan 95  ,N/A
3822,Montezuma's Revenge featuring Panama Joe,5200,Parker Bros.  ,Parker Bros  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83  ,N/A
3823,Montezuma's Revenge featuring Panama Joe,2600,Parker Bros.  ,Parker Bros  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 84  ,N/A
3824,Montezuma's Revenge featuring Panama Joe,MS,Parker Bros.  ,Parker Bros  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89  ,N/A
3825,Moon,PC,Tactics  ,Tactics  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Nov 97  ,N/A
3826,Moon Cradle,SAT,Pack-In-Video  ,Pack-In-Video  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 97  ,N/A
3827,Morpheus,PC,Tiburon Interactive Publishing  ,Soap Bubble Productions  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 98  ,N/A
3828,Morphopolis,PC,Unknown  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,14th Aug 14  ,N/A
3829,Morphopolis,And,Unknown  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Jan 14  ,N/A
3830,Mortadelo y Filemón: Dos Vaqueros Chapuceros,PC,Unknown  ,"Zeta Multimedia, S.A.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
3831,Mortadelo y Filemon: El Escarabajo de Cleopatra,PC,Zeta Multimedia  ,Alcachofa Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 01  ,N/A
